Prototype,Notes,POSCAR
CrNaS2,"Caswellsilverite (CrNaS2,
F
5
1
) Crystal Structure","ABC2_hR4_166_a_b_c & a,c/a,x3 --params=3.5561,5.44557239673,0.2667 & R(-3)m    D_{3d}^5 #166 (abc) & hR4 & F5_1 & CrNaS2 & Caswellsilverite & F. M. R. Engelsman, G. A. Wiegers, F. Jellinek, and B. van Laar, J. Solid State Chem. 6, 574-582 (1973)
   1.0000000000000000
   1.77805000000000  -1.02655764613300   6.45500000000000
   0.00000000000000   2.05311529226500   6.45500000000000
  -1.77805000000000  -1.02655764613300   6.45500000000000
   Cr   Na    S
    1    1    2
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   Cr    (1a)
   0.50000000000000   0.50000000000000   0.50000000000000   Na    (1b)
   0.26670000000000   0.26670000000000   0.26670000000000    S    (2c)
   0.73330000000000   0.73330000000000   0.73330000000000    S    (2c)"
BaHg11,"BaHg11 (
D
2
e
) Structure","AB11_cP36_221_c_agij & a,x3,y4,y5 --params=9.6,0.345,0.225,0.115 & Pm(-3)m   O_h^1 #221 (acgij) & cP36 & D2_e & BaHg11 & & G. Peyronel, Gazz. Chim. Ital. 82, 679-90 (1952)
   1.0000000000000000
   9.60000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   9.60000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   9.60000000000000
   Ba   Hg
    3   33
Direct
   0.00000000000000   0.50000000000000   0.50000000000000   Ba    (3c)
   0.50000000000000   0.00000000000000   0.50000000000000   Ba    (3c)
   0.50000000000000   0.50000000000000   0.00000000000000   Ba    (3c)
   0.00000000000000   0.22500000000000   0.22500000000000   Hg   (12i)
   0.00000000000000   0.22500000000000   0.77500000000000   Hg   (12i)
   0.00000000000000   0.77500000000000   0.22500000000000   Hg   (12i)
   0.00000000000000   0.77500000000000   0.77500000000000   Hg   (12i)
   0.22500000000000   0.00000000000000   0.22500000000000   Hg   (12i)
   0.22500000000000   0.00000000000000   0.77500000000000   Hg   (12i)
   0.22500000000000   0.22500000000000   0.00000000000000   Hg   (12i)
   0.22500000000000   0.77500000000000   0.00000000000000   Hg   (12i)
   0.77500000000000   0.00000000000000   0.22500000000000   Hg   (12i)
   0.77500000000000   0.00000000000000   0.77500000000000   Hg   (12i)
   0.77500000000000   0.22500000000000   0.00000000000000   Hg   (12i)
   0.77500000000000   0.77500000000000   0.00000000000000   Hg   (12i)
   0.11500000000000   0.11500000000000   0.50000000000000   Hg   (12j)
   0.11500000000000   0.50000000000000   0.11500000000000   Hg   (12j)
   0.11500000000000   0.50000000000000   0.88500000000000   Hg   (12j)
   0.11500000000000   0.88500000000000   0.50000000000000   Hg   (12j)
   0.50000000000000   0.11500000000000   0.11500000000000   Hg   (12j)
   0.50000000000000   0.11500000000000   0.88500000000000   Hg   (12j)
   0.50000000000000   0.88500000000000   0.11500000000000   Hg   (12j)
   0.50000000000000   0.88500000000000   0.88500000000000   Hg   (12j)
   0.88500000000000   0.11500000000000   0.50000000000000   Hg   (12j)
   0.88500000000000   0.50000000000000   0.11500000000000   Hg   (12j)
   0.88500000000000   0.50000000000000   0.88500000000000   Hg   (12j)
   0.88500000000000   0.88500000000000   0.50000000000000   Hg   (12j)
   0.00000000000000   0.00000000000000   0.00000000000000   Hg    (1a)
   0.34500000000000   0.34500000000000   0.34500000000000   Hg    (8g)
   0.34500000000000   0.34500000000000   0.65500000000000   Hg    (8g)
   0.34500000000000   0.65500000000000   0.34500000000000   Hg    (8g)
   0.34500000000000   0.65500000000000   0.65500000000000   Hg    (8g)
   0.65500000000000   0.34500000000000   0.34500000000000   Hg    (8g)
   0.65500000000000   0.34500000000000   0.65500000000000   Hg    (8g)
   0.65500000000000   0.65500000000000   0.34500000000000   Hg    (8g)
   0.65500000000000   0.65500000000000   0.65500000000000   Hg    (8g)"
O2Si,Monoclinic (Cc) Low Tridymite (SiO2) Structure,"A2B_mC144_9_24a_12a & a,b/a,c/a,\beta,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36 --params=18.524,0.270092852516,1.28535953358,105.82,0.5749,0.351,0.8182,0.0707,0.34,0.8476,0.7315,0.138,0.4851,0.2509,0.144,0.5152,0.4155,0.352,0.6741,-0.0873,0.352,0.6434,0.8773,0.164,-0.0787,0.416,0.168,-0.0639,0.7741,0.145,0.7538,0.2336,0.143,0.7402,0.6195,0.341,0.5847,0.0811,0.343,0.5661,-0.0034,0.011,0.6062,0.3533,0.489,0.5665,0.6498,0.005,0.6711,0.1524,0.496,0.7805,0.8636,0.499,0.7328,0.3361,0.003,0.8333,0.0052,0.493,0.7398,0.1369,0.011,-0.0732,0.4927,0.492,0.8868,0.5,0.468,0.5,0.2252,0.491,0.5898,0.2744,0.021,-0.0845,0.0507,0.041,0.5642,0.2036,0.447,0.7347,-0.0802,0.049,0.6225,0.5751,0.043,0.7955,0.4247,0.048,0.6971,0.2643,0.444,0.5386,0.8023,0.449,0.7661,0.6453,0.041,0.6027,0.8531,0.463,-0.0984,0.4493,0.466,-0.0642,0.2244,0.059,-0.0395,0.0697,0.049,0.8702 & Cc        C_s^4 #9 (a^36) & mC144 & & SiO2 & low Tridymite & Dollase and Baur, Am. Mineral. 61, 971-8 (1976)
   1.0000000000000000
   9.26200000000000  -2.50160000000000   0.00000000000000
   9.26200000000000   2.50160000000000   0.00000000000000
  -6.49098953000000   0.00000000000000  22.90814604000000
    O   Si
   48   24
Direct
   0.22390000000000   0.92590000000000   0.81820000000000    O    (4a)
   0.92590000000000   0.22390000000000   0.31820000000000    O    (4a)
   0.41070000000000   0.73070000000000   0.34760000000000    O    (4a)
   0.73070000000000   0.41070000000000   0.84760000000000    O    (4a)
   0.59350000000000   0.86950000000000   0.48510000000000    O    (4a)
   0.86950000000000   0.59350000000000   0.98510000000000    O    (4a)
   0.10690000000000   0.39490000000000   0.51520000000000    O    (4a)
   0.39490000000000   0.10690000000000   0.01520000000000    O    (4a)
   0.06350000000000   0.76750000000000   0.67410000000000    O    (4a)
   0.76750000000000   0.06350000000000   0.17410000000000    O    (4a)
   0.26470000000000   0.56070000000000   0.14340000000000    O    (4a)
   0.56070000000000   0.26470000000000   0.64340000000000    O    (4a)
   0.04130000000000   0.71330000000000   0.42130000000000    O    (4a)
   0.71330000000000   0.04130000000000   0.92130000000000    O    (4a)
   0.24800000000000   0.58400000000000   0.93610000000000    O    (4a)
   0.58400000000000   0.24800000000000   0.43610000000000    O    (4a)
   0.62910000000000   0.91910000000000   0.75380000000000    O    (4a)
   0.91910000000000   0.62910000000000   0.25380000000000    O    (4a)
   0.09060000000000   0.37660000000000   0.74020000000000    O    (4a)
   0.37660000000000   0.09060000000000   0.24020000000000    O    (4a)
   0.27850000000000   0.96050000000000   0.58470000000000    O    (4a)
   0.96050000000000   0.27850000000000   0.08470000000000    O    (4a)
   0.42410000000000   0.73810000000000   0.06610000000000    O    (4a)
   0.73810000000000   0.42410000000000   0.56610000000000    O    (4a)
   0.00760000000000  -0.01440000000000   0.10620000000000    O    (4a)
  -0.01440000000000   0.00760000000000   0.60620000000000    O    (4a)
   0.84230000000000   0.86430000000000   0.06650000000000    O    (4a)
   0.86430000000000   0.84230000000000   0.56650000000000    O    (4a)
   0.64480000000000   0.65480000000000   0.67110000000000    O    (4a)
   0.65480000000000   0.64480000000000   0.17110000000000    O    (4a)
   0.64840000000000   0.65640000000000   0.28050000000000    O    (4a)
   0.65640000000000   0.64840000000000   0.78050000000000    O    (4a)
   0.36260000000000   0.36460000000000   0.23280000000000    O    (4a)
   0.36460000000000   0.36260000000000   0.73280000000000    O    (4a)
   0.33310000000000   0.33910000000000   0.83330000000000    O    (4a)
   0.33910000000000   0.33310000000000   0.33330000000000    O    (4a)
   0.49820000000000   0.51220000000000   0.23980000000000    O    (4a)
   0.51220000000000   0.49820000000000   0.73980000000000    O    (4a)
   0.12590000000000   0.14790000000000   0.92680000000000    O    (4a)
   0.14790000000000   0.12590000000000   0.42680000000000    O    (4a)
   0.00070000000000   0.98470000000000   0.88680000000000    O    (4a)
   0.98470000000000   0.00070000000000   0.38680000000000    O    (4a)
   0.03200000000000   0.96800000000000   0.50000000000000    O    (4a)
   0.96800000000000   0.03200000000000   0.00000000000000    O    (4a)
   0.71620000000000   0.73420000000000   0.08980000000000    O    (4a)
   0.73420000000000   0.71620000000000   0.58980000000000    O    (4a)
   0.25340000000000   0.29540000000000   0.91550000000000    O    (4a)
   0.29540000000000   0.25340000000000   0.41550000000000    O    (4a)
   0.00970000000000   0.09170000000000   0.56420000000000   Si    (4a)
   0.09170000000000   0.00970000000000   0.06420000000000   Si    (4a)
  -0.01670000000000   0.91530000000000   0.93580000000000   Si    (4a)
   0.91530000000000  -0.01670000000000   0.43580000000000   Si    (4a)
   0.16540000000000   0.28340000000000   0.96050000000000   Si    (4a)
   0.28340000000000   0.16540000000000   0.46050000000000   Si    (4a)
   0.02070000000000   0.11870000000000   0.87020000000000   Si    (4a)
   0.11870000000000   0.02070000000000   0.37020000000000   Si    (4a)
   0.65060000000000   0.75660000000000   0.23470000000000   Si    (4a)
   0.75660000000000   0.65060000000000   0.73470000000000   Si    (4a)
   0.87080000000000   0.96880000000000   0.62250000000000   Si    (4a)
   0.96880000000000   0.87080000000000   0.12250000000000   Si    (4a)
   0.53210000000000   0.61810000000000   0.79550000000000   Si    (4a)
   0.61810000000000   0.53210000000000   0.29550000000000   Si    (4a)
   0.37670000000000   0.47270000000000   0.69710000000000   Si    (4a)
   0.47270000000000   0.37670000000000   0.19710000000000   Si    (4a)
   0.70830000000000   0.82030000000000   0.03860000000000   Si    (4a)
   0.82030000000000   0.70830000000000   0.53860000000000   Si    (4a)
   0.25130000000000   0.35330000000000   0.26610000000000   Si    (4a)
   0.35330000000000   0.25130000000000   0.76610000000000   Si    (4a)
   0.60430000000000   0.68630000000000   0.60270000000000   Si    (4a)
   0.68630000000000   0.60430000000000   0.10270000000000   Si    (4a)
   0.31610000000000   0.39010000000000   0.40160000000000   Si    (4a)
   0.39010000000000   0.31610000000000   0.90160000000000   Si    (4a)"
AsTi,"AsTi (
B
i
) Structure","AB_hP8_194_ad_f & a,c/a,z3 --params=3.64,3.37362637363,0.125 & P6_3/mmc  D_{6h}^4 #194 (adf) & hP8 & B_i & AsTi & & K. Bachmayer, H. Nowtny and A. Kohl, Monatshefte f""{u}r Chemie 86, 39-43 (1955)
   1.0000000000000000
   1.82000000000000  -3.15233246977536   0.00000000000000
   1.82000000000000   3.15233246977536   0.00000000000000
   0.00000000000000   0.00000000000000  12.28000000000000
   As   Ti
    4    4
Direct
   0.00000000000000   0.00000000000000   0.00000000000000   As    (2a)
   0.00000000000000   0.00000000000000   0.50000000000000   As    (2a)
   0.33333333333333   0.66666666666667   0.75000000000000   As    (2d)
   0.66666666666667   0.33333333333333   0.25000000000000   As    (2d)
   0.33333333333333   0.66666666666667   0.12500000000000   Ti    (4f)
   0.33333333333333   0.66666666666667   0.37500000000000   Ti    (4f)
   0.66666666666667   0.33333333333333   0.62500000000000   Ti    (4f)
   0.66666666666667   0.33333333333333   0.87500000000000   Ti    (4f)"
Ca7Ge,Ca7Ge Structure,"A7B_cF32_225_bd_a & a --params=9.45 & Fm(-3)m   O_h^5 #225 (abd) & cF32 & & Ca7Ge & & O. Helleis, H. Kandler, E. Leicht, W. Quiring and E. Wolfel, ZAAC 320, 86-100 (1963)
   1.0000000000000000
   0.00000000000000   4.72500000000000   4.72500000000000
   4.72500000000000   0.00000000000000   4.72500000000000
   4.72500000000000   4.72500000000000   0.00000000000000
   Ca   Ge
    7    1
Direct
   0.00000000000000   0.00000000000000   0.50000000000000   Ca   (24d)
   0.00000000000000   0.50000000000000   0.00000000000000   Ca   (24d)
   0.00000000000000   0.50000000000000   0.50000000000000   Ca   (24d)
   0.50000000000000   0.00000000000000   0.00000000000000   Ca   (24d)
   0.50000000000000   0.00000000000000   0.50000000000000   Ca   (24d)
   0.50000000000000   0.50000000000000   0.00000000000000   Ca   (24d)
   0.50000000000000   0.50000000000000   0.50000000000000   Ca    (4b)
   0.00000000000000   0.00000000000000   0.00000000000000   Ge    (4a)"
Se,"Se (
A
k
) Structure","A_mP64_14_16e & a,b/a,c/a,\beta,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16 --params=15.018,0.979691037422,0.585231056066,93.61,0.18313,0.14063,0.03451,0.22856,0.28408,0.12262,0.35548,0.31907,-0.00548,0.47826,0.28776,0.16131,0.52853,0.14438,0.09345,0.47966,0.04033,0.27102,0.36296,-0.02818,0.15123,0.22521,0.04261,0.2343,0.09552,0.48601,0.14213,0.01298,0.58883,0.27815,-0.01931,0.71476,0.12135,0.08347,0.82945,0.18553,0.19177,0.81338,0.00963,0.3102,0.73961,0.14402,0.30834,0.59137,0.04778,0.24353,0.50553,0.23353 & P2_1/c     C_{2h}^5 #14 (e^16) & mP64 & A_k & Se & Red (gamma) & Foss and Janickis J. Chem. Soc., Chem. Comm. 834-835 (1977)
   1.0000000000000000
  15.01800000000000   0.00000000000000   0.00000000000000
   0.00000000000000  14.71300000000000   0.00000000000000
  -0.55339681000000   0.00000000000000   8.77156046000000
   Se
   64
Direct
   0.18313000000000   0.14063000000000   0.03451000000000   Se    (4e)
   0.18313000000000   0.35937000000000   0.53451000000000   Se    (4e)
   0.81687000000000   0.64063000000000   0.46549000000000   Se    (4e)
   0.81687000000000   0.85937000000000  -0.03451000000000   Se    (4e)
  -0.01298000000000   0.08883000000000   0.22185000000000   Se    (4e)
   0.01298000000000  -0.08883000000000   0.77815000000000   Se    (4e)
  -0.01298000000000   0.41117000000000   0.72185000000000   Se    (4e)
   0.01298000000000   0.58883000000000   0.27815000000000   Se    (4e)
   0.01931000000000   0.21476000000000   0.37865000000000   Se    (4e)
   0.01931000000000   0.28524000000000   0.87865000000000   Se    (4e)
  -0.01931000000000   0.71476000000000   0.12135000000000   Se    (4e)
  -0.01931000000000   0.78524000000000   0.62135000000000   Se    (4e)
  -0.08347000000000   0.17055000000000   0.81447000000000   Se    (4e)
  -0.08347000000000   0.32945000000000   0.31447000000000   Se    (4e)
   0.08347000000000   0.67055000000000   0.68553000000000   Se    (4e)
   0.08347000000000   0.82945000000000   0.18553000000000   Se    (4e)
   0.19177000000000   0.68662000000000   0.50963000000000   Se    (4e)
   0.19177000000000   0.81338000000000   0.00963000000000   Se    (4e)
   0.80823000000000   0.18662000000000  -0.00963000000000   Se    (4e)
   0.80823000000000   0.31338000000000   0.49037000000000   Se    (4e)
   0.31020000000000   0.73961000000000   0.14402000000000   Se    (4e)
   0.31020000000000   0.76039000000000   0.64402000000000   Se    (4e)
   0.68980000000000   0.23961000000000   0.35598000000000   Se    (4e)
   0.68980000000000   0.26039000000000   0.85598000000000   Se    (4e)
   0.30834000000000  -0.09137000000000   0.54778000000000   Se    (4e)
   0.30834000000000   0.59137000000000   0.04778000000000   Se    (4e)
   0.69166000000000   0.09137000000000   0.45222000000000   Se    (4e)
   0.69166000000000   0.40863000000000  -0.04778000000000   Se    (4e)
   0.24353000000000  -0.00553000000000   0.73353000000000   Se    (4e)
   0.24353000000000   0.50553000000000   0.23353000000000   Se    (4e)
   0.75647000000000   0.00553000000000   0.26647000000000   Se    (4e)
   0.75647000000000   0.49447000000000   0.76647000000000   Se    (4e)
   0.22856000000000   0.21592000000000   0.62262000000000   Se    (4e)
   0.22856000000000   0.28408000000000   0.12262000000000   Se    (4e)
   0.77144000000000   0.71592000000000   0.87738000000000   Se    (4e)
   0.77144000000000   0.78408000000000   0.37738000000000   Se    (4e)
   0.35548000000000   0.18093000000000   0.49452000000000   Se    (4e)
   0.35548000000000   0.31907000000000  -0.00548000000000   Se    (4e)
   0.64452000000000   0.68093000000000   0.00548000000000   Se    (4e)
   0.64452000000000   0.81907000000000   0.50548000000000   Se    (4e)
   0.47826000000000   0.21224000000000   0.66131000000000   Se    (4e)
   0.47826000000000   0.28776000000000   0.16131000000000   Se    (4e)
   0.52174000000000   0.71224000000000   0.83869000000000   Se    (4e)
   0.52174000000000   0.78776000000000   0.33869000000000   Se    (4e)
   0.47147000000000   0.64438000000000   0.40655000000000   Se    (4e)
   0.47147000000000   0.85562000000000  -0.09345000000000   Se    (4e)
   0.52853000000000   0.14438000000000   0.09345000000000   Se    (4e)
   0.52853000000000   0.35562000000000   0.59345000000000   Se    (4e)
   0.47966000000000   0.04033000000000   0.27102000000000   Se    (4e)
   0.47966000000000   0.45967000000000   0.77102000000000   Se    (4e)
   0.52034000000000  -0.04033000000000   0.72898000000000   Se    (4e)
   0.52034000000000   0.54033000000000   0.22898000000000   Se    (4e)
   0.36296000000000  -0.02818000000000   0.15123000000000   Se    (4e)
   0.36296000000000   0.52818000000000   0.65123000000000   Se    (4e)
   0.63704000000000   0.02818000000000   0.84877000000000   Se    (4e)
   0.63704000000000   0.47182000000000   0.34877000000000   Se    (4e)
   0.22521000000000   0.04261000000000   0.23430000000000   Se    (4e)
   0.22521000000000   0.45739000000000   0.73430000000000   Se    (4e)
   0.77479000000000  -0.04261000000000   0.76570000000000   Se    (4e)
   0.77479000000000   0.54261000000000   0.26570000000000   Se    (4e)
  -0.09552000000000  -0.01399000000000   0.35787000000000   Se    (4e)
   0.09552000000000   0.01399000000000   0.64213000000000   Se    (4e)
   0.09552000000000   0.48601000000000   0.14213000000000   Se    (4e)
  -0.09552000000000   0.51399000000000   0.85787000000000   Se    (4e)"
Li3N,Li3N Structure,"A3B_hP4_191_bc_a & a,c/a --params=3.6576,1.05902777778 & P6/mmm    D_{6h}^4 #191 (abc) & hP4 & & Li3N & & D. H. Gregory et al., Chem. Mater. 14, 2063-2070 (2002)
   1.0000000000000000
   1.82880000000000  -3.16757451688196   0.00000000000000
   1.82880000000000   3.16757451688196   0.00000000000000
   0.00000000000000   0.00000000000000   3.87350000000000
   Li    N
    3    1
Direct
   0.00000000000000   0.00000000000000   0.50000000000000   Li    (1b)
   0.33333333333333   0.66666666666667   0.00000000000000   Li    (2c)
   0.66666666666667   0.33333333333333   0.00000000000000   Li    (2c)
   0.00000000000000   0.00000000000000   0.00000000000000    N    (1a)"
CClN,CNCl Structure,"ABC_oP6_59_a_a_a & a,b/a,c/a,z1,z2,z3 --params=5.68,0.700704225352,1.01056338028,0.1499,0.4237,0.6255 & Pmmn      D_{2h}^{13} #59 (a^3) & oP6 & & CNCl & & R. B. Heiart and G. B. Carpenter, Acta Cryst. 9, 889-895 (1956)
   1.0000000000000000
   5.68000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.98000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   5.74000000000000
    C   Cl    N
    2    2    2
Direct
   0.25000000000000   0.25000000000000   0.14990000000000    C    (2a)
   0.75000000000000   0.75000000000000   0.85010000000000    C    (2a)
   0.25000000000000   0.25000000000000   0.42370000000000   Cl    (2a)
   0.75000000000000   0.75000000000000   0.57630000000000   Cl    (2a)
   0.25000000000000   0.25000000000000   0.62550000000000    N    (2a)
   0.75000000000000   0.75000000000000   0.37450000000000    N    (2a)"
GeS,"GeS (
B16
) Structure","AB_oP8_62_c_c & a,b/a,c/a,x1,z1,x2,z2 --params=10.42,0.349328214971,0.411708253359,0.375,0.333,0.139,0.389 & Pnma      D^{16}_{2h} #62 (c^2) & oP8 & B16 & GeS & & W. H. Zachariasen, Phys. Rev. 40, 917-922 (1932)
   1.0000000000000000
  10.42000000000000   0.00000000000000   0.00000000000000
   0.00000000000000   3.64000000000000   0.00000000000000
   0.00000000000000   0.00000000000000   4.29000000000000
   Ge    S
    4    4
Direct
   0.12500000000000   0.75000000000000   0.83300000000000   Ge    (4c)
   0.37500000000000   0.25000000000000   0.33300000000000   Ge    (4c)
   0.62500000000000   0.75000000000000   0.66700000000000   Ge    (4c)
   0.87500000000000   0.25000000000000   0.16700000000000   Ge    (4c)
   0.13900000000000   0.25000000000000   0.38900000000000    S    (4c)
   0.36100000000000   0.75000000000000  -0.11100000000000    S    (4c)
   0.63900000000000   0.25000000000000   1.11100000000000    S    (4c)
   0.86100000000000   0.75000000000000   0.61100000000000    S    (4c)"
O,"α
–O Structure","A_mC4_12_i & a,b/a,c/a,\beta,x1,z1 --params=5.403,0.635387747548,0.940033314825,132.32,0.106,0.173 & C2/m      C__{2h}^3 #12 (i) & mC4 & & O & alpha & R. J. Meier and R. B. Helmholdt, Phys. Rev. B 29, 1387-93 (1984)
   1.0000000000000000
   2.70150000000000  -1.71650000000000   0.00000000000000
   2.70150000000000   1.71650000000000   0.00000000000000
  -3.41954164384100   0.00000000000000   3.75539291500000
    O
    2
Direct
   0.10600000000000   0.10600000000000   0.17300000000000    O    (4i)
   0.89400000000000   0.89400000000000   0.82700000000000    O    (4i)"
"(Mn,Fe)2O3","Bixbyite (Mn2O3,
D
5
3
) Structure","AB3C6_cI80_206_b_d_e & a,x2,x3,y3,z3 --params=9.4,-0.0344,0.338,0.1,0.125 & Ia(-3)    T_h^3 #206 (bde) & cI80 & D5_3 & (Mn,Fe)2O3 & Bixbyite & H. Dachs, Zeitschrift f\""{u}r Kristallographie - Crystalline Materials, 107, 370-395 (1956)
   1.0000000000000000
  -4.70000000000000   4.70000000000000   4.70000000000000
   4.70000000000000  -4.70000000000000   4.70000000000000
   4.70000000000000   4.70000000000000  -4.70000000000000
   Fe   Mn    O
    4   12   24
Direct
   0.00000000000000   0.00000000000000  -0.50000000000000   Fe    (8b)
   0.00000000000000  -0.50000000000000   0.00000000000000   Fe    (8b)
  -0.50000000000000   0.00000000000000   0.00000000000000   Fe    (8b)
   0.50000000000000   0.50000000000000   0.50000000000000   Fe    (8b)
  -0.03440000000000   0.25000000000000   0.21560000000000   Mn   (24d)
   0.03440000000000   0.75000000000000   0.78440000000000   Mn   (24d)
   0.21560000000000  -0.03440000000000   0.25000000000000   Mn   (24d)
   0.25000000000000   0.21560000000000  -0.03440000000000   Mn   (24d)
   0.25000000000000   0.71560000000000   0.46560000000000   Mn   (24d)
   0.46560000000000   0.25000000000000   0.71560000000000   Mn   (24d)
   0.53440000000000   0.75000000000000   1.28440000000000   Mn   (24d)
   0.71560000000000   0.46560000000000   0.25000000000000   Mn   (24d)
   0.75000000000000   0.78440000000000   0.03440000000000   Mn   (24d)
   0.75000000000000   1.28440000000000   0.53440000000000   Mn   (24d)
   0.78440000000000   0.03440000000000   0.75000000000000   Mn   (24d)
   1.28440000000000   0.53440000000000   0.75000000000000   Mn   (24d)
   0.03700000000000   0.26200000000000   0.97500000000000    O   (48e)
  -0.03700000000000  -0.26200000000000  -0.97500000000000    O   (48e)
   0.06200000000000   0.52500000000000   0.78700000000000    O   (48e)
  -0.06200000000000  -0.52500000000000  -0.78700000000000    O   (48e)
   0.22500000000000   0.46300000000000   0.43800000000000    O   (48e)
  -0.22500000000000  -0.46300000000000  -0.43800000000000    O   (48e)
   0.26200000000000   0.97500000000000   0.03700000000000    O   (48e)
  -0.26200000000000  -0.97500000000000  -0.03700000000000    O   (48e)
   0.27500000000000   0.71300000000000   1.23800000000000    O   (48e)
  -0.27500000000000  -0.71300000000000  -1.23800000000000    O   (48e)
   0.43800000000000   0.22500000000000   0.46300000000000    O   (48e)
  -0.43800000000000  -0.22500000000000  -0.46300000000000    O   (48e)
   0.46300000000000   0.43800000000000   0.22500000000000    O   (48e)
  -0.46300000000000  -0.43800000000000  -0.22500000000000    O   (48e)
   0.52500000000000   0.78700000000000   0.06200000000000    O   (48e)
  -0.52500000000000  -0.78700000000000  -0.06200000000000    O   (48e)
   0.71300000000000   1.23800000000000   0.27500000000000    O   (48e)
  -0.71300000000000  -1.23800000000000  -0.27500000000000    O   (48e)
   0.78700000000000   0.06200000000000   0.52500000000000    O   (48e)
  -0.78700000000000  -0.06200000000000  -0.52500000000000    O   (48e)
   0.97500000000000   0.03700000000000   0.26200000000000    O   (48e)
  -0.97500000000000  -0.03700000000000  -0.26200000000000    O   (48e)
   1.23800000000000   0.27500000000000   0.71300000000000    O   (48e)
  -1.23800000000000  -0.27500000000000  -0.71300000000000    O   (48e)"
FeSi,"FeSi (
B20
) Structure","AB_cP8_198_a_a & a,x1,x2 --params=4.48688,0.13652,0.8424 & P2_13     T^4 #198 (a^2) & cP8 & B20 & FeSi & & L. Vo\v{c}adlo, K. S. Knight, G. D. Price and I. G. Wood, Phys. Chem. Minerals 29, 132-139 (2002)
   1.0000000000000000
   4.48687533818500   0.00000000000000   0.00000000000000
   0.00000000000000   4.48687533818500   0.00000000000000
   0.00000000000000   0.00000000000000   4.48687533818500
   Fe   Si
    4    4
Direct
   0.13652000000000   0.13652000000000   0.13652000000000   Fe    (4a)
   0.36348000000000   0.86348000000000   0.63652000000000   Fe    (4a)
   0.63652000000000   0.36348000000000   0.86348000000000   Fe    (4a)
   0.86348000000000   0.63652000000000   0.36348000000000   Fe    (4a)
   0.15760000000000   0.34240000000000   0.65760000000000   Si    (4a)
   0.34240000000000   0.65760000000000   0.15760000000000   Si    (4a)
   0.65760000000000   0.15760000000000   0.34240000000000   Si    (4a)
   0.84240000000000   0.84240000000000   0.84240000000000   Si    (4a)"
LiNbO3,Ferroelectric LiNbO3 Structure,"ABC3_hR10_161_a_a_b & a,c/a,x1,x2,x3,y3,z3 --params=5.2542,2.64091583876,0.2875,0.0128,0.74643,0.14093,0.36263 & R3c       C_{3v}^6 #161 (a^2b) & hR10 & & LiNbO3 & Ferroelectric & H. Boysen and F. Altorfer, Acta Cryst. B 50, 405-414 (1994)
   1.0000000000000000
   2.62710000000000  -1.51675689218800   4.62530000000000
   0.00000000000000   3.03351378437600   4.62530000000000
  -2.62710000000000  -1.51675689218800   4.62530000000000
   Li   Nb    O
    2    2    6
Direct
   0.28750000000000   0.28750000000000   0.28750000000000   Li    (2a)
   0.78750000000000   0.78750000000000   0.78750000000000   Li    (2a)
   0.01280000000000   0.01280000000000   0.01280000000000   Nb    (2a)
   0.51280000000000   0.51280000000000   0.51280000000000   Nb    (2a)
   0.14093333333333   0.36263333333333   0.74643333333333    O    (6b)
   0.24643333333333   0.86263333333333   0.64093333333333    O    (6b)
   0.36263333333333   0.74643333333333   0.14093333333333    O    (6b)
   0.64093333333333   0.24643333333333   0.86263333333333    O    (6b)
   0.74643333333333   0.14093333333333   0.36263333333333    O    (6b)
   0.86263333333333   0.64093333333333   0.24643333333333    O    (6b)"
